systemic_crisis,currency_crises,inflation_crises,banking_crisis,exch_usd,gdp_weighted_default,inflation_annual_cpi,domestic_debt_in_default,sovereign_external_debt_default,independence
1,0,0,1,0.052264,0,3.441455696,0,0,0
0,0,0,0,0.052798,0,14.14913958,0,0,0
0,0,0,0,0.052274,0,-3.718592965,0,0,0
0,0,0,0,0.05168,0,11.20389701,0,0,0
0,0,0,0,0.051308,0,-3.848560701,0,0,0
0,0,0,0,0.051546,0,-20.92417833,0,0,0
0,0,0,0,0.051867,0,-1.769547325,0,0,0
0,0,1,0,0.051867,0,29.11604525,0,0,0
0,0,0,0,0.051948,0,-1.492537313,0,0,0
0,0,0,0,0.052029,0,-16.83135705,0,0,0
0,0,0,0,0.052356,0,3.881188119,0,0,0
0,0,0,0,0.052029,0,12.61913839,0,0,0
0,0,0,0,0.050761,0,-12.35612729,0,0,0
0,0,0,0,0.052002,0,-1.390498262,0,0,0
0,0,0,0,0.052165,0,-15.94202899,0,0,0
0,0,0,0,0.44903,0,9.756097561,0,0,0
0,0,1,0,0.49189,0,22.22222222,0,0,0
0,0,0,0,0.44937,0,16.36363636,0,0,0
0,0,1,0,0.75,0,28.125,0,0,0
0,1,1,0,0.5,0,46.34146341,0,0,0
0,1,1,0,0.5,0,41.66666667,0,0,0
0,0,1,0,1.191,0,29.41176471,0,0,0
0,0,0,0,1.191,0,18.18181818,0,0,0
0,0,1,0,1.193,0,69.23076923,0,0,0
0,0,1,0,2.662,0,63.63636364,0,0,0
0,0,1,0,3.49,0,23.61111111,0,0,0
0,0,0,0,3.499,0,0,0,0,0
0,0,0,0,3.5,0,6.741573034,0,0,0
0,0,0,0,3.5,0,6.315789474,0,0,0
0,0,0,0,3.5,0,-0.99009901,0,0,0
0,0,0,0,3.5,0,1,0,0,0
0,0,0,0,3.5,0,0,0,0,0
0,0,0,0,3.5,0,1.98019802,0,0,0
0,0,0,0,4.199,0,2.912621359,0,0,0
0,0,0,0,4.906,0,12.26415094,0,0,0
0,0,0,0,4.909,0,9.243697479,0,0,0
0,1,0,0,4.93706,0,5.384615385,0,0,0
0,0,0,0,4.93706,0,2.919708029,0,0,0
0,0,0,0,4.93706,0,6.599987838,0,0,1
0,0,0,0,4.93706,0,2.626631862,0,0,1
0,0,0,0,4.93706,0,3.656320975,0,0,1
0,0,0,0,4.644,0,6.172816266,0,0,1
0,0,0,0,4.556,0,4.734228715,0,0,1
0,0,0,0,4.185,0,8.961134756,0,0,1
0,0,0,0,3.997,0,8.87917187,0,0,1
0,0,0,0,4.125,0,12.09893382,0,0,1
0,0,0,0,4.359,0,17.17351914,0,0,1
0,0,0,0,4.035,0,11.45037883,0,0,1
0,0,0,0,3.8345,0,9.668492611,0,0,1
0,0,0,0,3.7555,0,14.60957788,0,0,1
0,0,0,0,3.9715,0,9.668,0,0,1
0,0,0,0,4.378,0,14.61,0,0,1
0,0,0,0,4.6355,0,6.593,0,0,1
0,0,0,0,4.9165,0,7.835,0,0,1
0,0,0,0,5.1227,0,6.31,0,0,1
0,0,0,0,4.7728,0,10.432,0,0,1
0,0,0,0,4.8235,0,14.007,0,0,1
0,0,0,0,4.9363,0,5.857,0,0,1
0,1,0,0,6.7308,0,5.938,0,0,1
0,1,0,0,8.0324,0,9.172,0,0,1
1,1,0,1,12.1908,0,9.272,0,0,1
1,1,1,1,21.3919,0.23,25.9,0,1,1
1,0,1,1,22.7814,0.23,31.7,0,1,1
0,0,1,0,24.123,0.23,20.5,0,1,1
0,1,1,0,42.8925,0.23,29,0,1,1
0,1,1,0,52.175,0.23,29.8,0,1,1
0,0,0,0,56.1859,0.23,18.7,0,1,1
0,0,0,0,58.4139,0,5.7,0,0,1
0,0,0,0,60.3531,0,4.95,0,0,1
0,0,0,0,69.3143,0,2.6,0,0,1
0,0,0,0,75.3428,0,0.3,0,0,1
0,0,0,0,77.8196,0,4.2,0,0,1
0,0,0,0,79.7234,0,1.43,0,0,1
0,0,0,0,72.6128,0,4.259,0,0,1
0,0,0,0,72.6137,0,3.972,0,0,1
0,0,0,0,73.3799,0,1.382,0,0,1
0,0,0,0,71.1582,0,2.315,0,0,1
0,0,0,0,66.8299,0,3.674,0,0,1
0,0,0,0,71.1826,0,4.855,0,0,1
0,0,0,0,72.7309,0,5.743,0,0,1
0,0,0,0,74.9437,0,3.913,0,0,1
0,0,0,0,76.0563,0,4.522,0,0,1
0,0,0,0,78.1025,0,8.916,0,0,1
0,0,0,0,78.1487013,0,3.255,0,0,1
0,0,0,0,87.9706983,0,2.917,0,0,1
0,0,1,0,1.25E-08,0,29.62962963,0,0,0
0,0,1,0,2.21E-08,0,45.71428571,0,0,0
0,0,1,0,2.81E-08,0,68.62745098,0,0,0
0,0,1,0,2.08E-08,0,126.744186,0,0,0
0,0,0,0,1.95E-08,0,-27.17948718,0,0,0
0,0,0,0,1.95E-08,0,-7.042253521,0,0,0
0,0,0,0,2.02E-08,0,-17.42424242,0,0,0
0,0,0,0,2.27E-08,0,-9.174311927,0,0,0
0,0,0,0,2.22E-08,0,-5.050505051,0,0,0
0,0,0,0,2.23E-08,0,-5.319148936,0,0,0
0,0,0,0,3.10E-08,0,0,0,0,0
0,0,0,0,3.31E-08,0,-2.247191011,0,0,0
0,0,0,0,2.13E-08,0,2.298850575,0,0,0
0,0,0,0,2.22E-08,0,3.370786517,0,0,0
0,0,0,0,2.23E-08,0,5.434782609,0,0,0
0,0,0,0,2.25E-08,0,-1.030927835,0,0,0
0,0,0,0,2.21E-08,0,2.083333333,0,0,0
0,0,0,0,2.36E-08,0,2.040816327,0,0,0
0,0,0,0,2.77E-08,0,1,0,0,0
0,0,0,0,2.51E-08,0,13.86138614,0,0,0
0,0,0,0,0.000000025,0,16.52173913,0,0,0
0,0,0,0,0.000000025,0,17.91044776,0,0,0
0,0,0,0,0.000000025,0,13.92405063,0,0,0
0,0,0,0,0.000000025,0,7.777777778,0,0,0
0,0,0,0,0.000000025,0,5.154639175,0,0,0
0,0,0,0,2.63E-08,0,4.901960784,0,0,0
0,0,0,0,2.50E-08,0,13.55140187,0,0,0
0,0,0,0,2.58E-08,0,-16.87242798,0,0,0
0,0,0,0,2.86E-08,0,-0.99009901,0,0,0
0,0,0,0,2.91E-08,0,4,0,0,0
0,0,0,0,2.91E-08,0,-7.692307692,0,0,0
0,0,0,0,0.000000029,0,3.125,0,0,0
0,0,0,0,0.000000029,0,0,0,0,0
0,0,0,0,2.88E-08,0,-4.04040404,0,0,0
0,0,0,0,2.88E-08,0,0,0,0,0
0,0,0,0,2.88E-08,0,3.157894737,0,0,0
0,0,0,0,2.88E-08,0,1.020408163,0,0,0
0,0,0,0,2.88E-08,0,2.02020202,0,0,0
0,1,0,0,2.89E-08,0,0,0,0,0
0,0,0,0,2.88E-08,0,-0.99009901,0,0,0
0,0,0,0,2.88E-08,0,2,0,0,0
0,0,0,0,2.89E-08,0,5.882352941,0,0,0
0,1,0,0,2.88E-08,0,7.965434021,0,0,0
0,0,0,0,2.76E-08,0,5.777758599,0,0,0
0,1,0,0,0.000000027,0,15.79827455,0,0,0
0,1,0,0,2.58E-08,0,15.67485015,0,0,0
0,0,1,0,2.46E-08,0,27.41525989,0,0,0
0,0,1,0,2.75E-08,0,29.00043489,0,0,1
0,0,1,0,2.99E-08,0,80.69990445,1,0,1
0,0,1,0,2.99E-08,0,69.00935079,0,0,1
0,0,1,0,2.99E-08,0,48.46106867,0,0,1
0,0,1,0,2.99E-08,0,101.3013176,0,0,1
0,0,1,0,2.99E-08,0,46.70755462,0,0,1
0,1,1,0,0.00000018,0,85.265,0,1,1
0,1,1,1,0.00000055,0,299.097,1,1,1
0,1,1,1,0.0000065,0,1379.476,1,1,1
0,1,1,1,0.000509262,0,949.771,1,1,1
0,1,1,1,0.005692,0,2672.23,1,1,1
0,1,1,1,0.201994,0,4146.01,1,1,1
0,1,1,1,0.262376,0,221.492,1,1,1
0,1,1,1,0.6965,0,107.429,1,1,1
0,1,1,0,5.57992,0,248.248,1,1,1
0,1,1,0,16.81784,0,325.029,1,1,1
0,1,1,0,31.94936,0,152.586,1,1,1
0,1,1,0,58.66637,0,108.893,1,1,1
0,1,1,0,79.08149,0,98.342,0,1,1
0,1,1,0,85.98779,0,43.559,0,0,1
0,1,1,0,80.77951,0,22.961,0,0,1
0,0,0,0,80.26442,0,13.305,0,0,1
0,0,0,0,75.023,0,12.249,0,0,1
0,0,0,0,75.169,0,12.465,0,0,1
0,1,0,0,89.398,0,13.721,0,0,1
0,0,0,0,92.643,0,14.48,0,0,1
0,0,0,0,95.272,0,13.484,0,0,1
0,0,0,0,95.82588521,0,10.285,0,0,1
0,0,0,0,97.56,0,8.782,0,0,1
0,0,0,0,101.49,0,7.296,0,0,1
0,0,0,0,209.9498515,0,6.818181818,0,0,0
0,0,0,0,245.2998265,0,12.76595745,0,0,0
0,1,0,0,245.4498264,0,3.773584906,0,0,0
0,0,0,0,245.1298266,0,10.90909091,0,0,1
0,0,0,0,245.0648267,0,6.557377049,0,0,1
0,0,0,0,245.0048267,0,7.692307692,0,0,1
0,0,0,0,245.0998266,0,3.714285714,0,0,1
0,0,0,0,245.0048267,0,10.05509642,0,0,1
0,0,0,0,245.0748266,0,9.386733417,0,0,1
0,0,0,0,247.5898249,0,2.745995423,0,0,1
0,0,0,0,245.4248264,0,1.893095768,0,0,1
0,0,0,0,247.404825,0,4.808743169,0,0,1
0,0,0,0,277.9148034,0,0.521376434,0,0,1
0,0,0,0,276.0248048,0,3.734439834,0,0,1
0,0,1,0,261.2248152,0,27.69953052,0,0,1
0,0,0,0,256.0498189,0,-8.823529412,0,0,1
0,0,0,0,235.4248335,0,5.64516129,0,0,1
0,0,0,0,222.2248428,0,9.541984733,0,0,1
0,0,0,0,224.2748413,0,16.02787456,0,0,1
1,0,0,1,248.4873242,0,10.51051051,0,0,1
1,0,0,1,235.2498335,0,11.14130435,0,0,1
1,0,0,1,208.9998521,0,11.49144254,0,0,1
1,0,0,1,200.9998578,0,9.210526316,0,0,1
1,0,0,1,225.7998402,0,13.3,0,0,1
1,0,0,1,287.3997967,0,14.66,0,1,1
1,0,0,1,336.2497621,0,13.243,0,0,1
0,0,0,0,417.3747047,0,14.558,0,1,1
0,0,0,0,479.5996607,0,2.604,0,1,1
0,0,0,0,378.0497326,0,10.457,0,1,1
0,0,0,0,322.7497717,0,2.411,0,1,1
0,0,0,0,266.9998111,0,-6.986,0,1,1
1,0,0,1,302.9497857,0,-3.934,0,1,1
1,0,0,1,289.3997953,0,0.645,0,1,1
1,0,0,1,256.4498186,0,-0.203,0,1,1
1,0,0,1,258.9998168,0,-2.848,0,1,1
1,0,0,1,275.3248052,0,-0.757,0,1,1
1,0,0,1,294.7747915,0,-2.909,0,1,1
1,1,1,1,534.5996218,0,24.55,0,1,1
1,0,0,1,489.9996534,0,19.2,0,1,1
1,0,0,1,523.6996296,0,3.723,0,1,1
1,0,0,1,598.8095764,0,1.597,0,1,1
1,0,0,1,562.2096023,0,-1.871,0,1,1
1,0,0,1,652.9534143,0,-1.415,0,1,1
0,0,0,0,704.9511016,0,3.202,0,1,1
0,0,0,0,744.3061387,0,3.843,0,1,1
0,0,0,0,625.4953752,0,2.298,0,1,1
0,0,0,0,519.3642122,0,4.353,0,1,1
0,0,0,0,481.5777109,0,-2.244,0,1,1
0,0,0,0,556.0371281,0,2.885,0,1,1
0,0,0,0,498.0690964,0,6.694,0,1,1
0,0,0,0,445.5926907,0,0.935,0,1,1
0,0,0,0,471.3350578,0,9.262,0,1,1
0,0,0,0,455.3359711,0,3.522,0,1,1
0,0,0,0,490.9122886,0,1.491,0,1,1
0,0,0,0,506.9611253,0,1.195,0,1,1
0,0,0,0,497.1631044,0,5.874,0,1,1
0,0,0,0,475.6413603,0,6.552,0,1,1
0,0,0,0,540.2825138,0,11.584,0,1,1
0,0,0,0,0,0,16.21609969,0,0,0
0,0,0,0,0,0,2.326185353,0,0,0
0,0,0,0,0,0,-2.273304086,0,0,0
0,0,0,0,0,0,2.326185353,0,0,0
0,0,0,0,0,0,4.54479533,0,0,0
0,0,0,0,0,0,13.04340287,0,0,0
0,0,1,0,0,0,21.15476063,0,0,0
0,0,0,0,0,0,6.348281887,0,0,0
0,0,0,0,0,0,-2.152483452,0,0,1
0,0,0,0,0,0,14.43033046,0,0,1
0,0,0,0,0,0,-0.177568901,0,0,1
0,0,0,0,0,0,8.719549217,0,0,1
0,0,0,0,0,0,-3.169044947,0,0,1
0,0,0,0,0,0,1.757528693,0,0,1
0,0,0,0,0,0,4.665098294,0,0,1
0,0,0,0,0,0,2.766186537,0,0,1
0,0,0,0,0,0,7.747595621,0,0,1
0,0,0,0,0,0,2.502927383,0,0,1
0,0,0,0,278,0,8.075116891,0,0,1
0,0,0,0,264,0,-1.07225635,0,0,1
0,0,0,0,255.5,0,1.194615424,0,0,1
0,0,0,0,238,0,12.9325741,0,0,1
0,0,0,0,222,0,18.22418299,0,0,1
0,0,0,0,220,0,10.61769304,0,0,1
0,0,0,0,247,0,12.90885269,0,0,1
0,0,1,0,236,0,24.48243736,0,0,1
0,0,0,0,243.5,0,16.03173523,0,0,1
0,0,1,0,205,0,21.75954473,0,0,1
0,0,0,0,221,0,8.81,0,0,1
0,0,0,0,290,0,8.682,0,0,1
0,0,0,0,352,0,7.389,0,0,1
0,0,0,0,450,0,5.879,0,1,1
0,0,0,0,486.5,0,4.281,0,1,1
0,0,0,0,380,0,1.753,0,1,1
0,0,0,0,319,0,6.837,0,1,1
0,0,0,0,277,0,6.978,0,1,1
1,0,0,1,310,0,6.935,0,1,1
1,0,0,1,305,0,0.986,0,1,1
1,0,0,1,267,0,-0.658,0,1,1
1,0,0,1,265,0,1.575,0,1,1
0,0,0,0,278,0,4.218,0,1,1
0,0,0,0,297,0,2.13,0,1,1
0,1,1,0,540,0,25.956,0,1,1
0,0,0,0,495,0,14.1,0,1,1
0,0,0,0,525.7,0,2.7,0,1,1
0,0,0,0,616,0,6.301,0,1,1
0,0,0,0,576,0,5.219,0,1,1
0,0,0,0,0,0,0.92,0,0,1
0,0,0,0,0,0,-0.381,0,1,1
0,0,0,0,0,0,4.355,0,1,1
0,0,0,0,0,0,3.08,0,1,1
0,0,0,0,0,0,3.297,0,1,1
0,0,0,0,0,0,1.459,0,1,1
0,0,0,0,0,0,3.884,0,1,1
0,0,0,0,0,0,2.466,0,1,1
0,0,0,0,0,0,1.896,0,1,1
0,0,0,0,0,0,6.315,0,1,1
0,0,0,0,0,0,1.009,0,1,1
0,0,0,0,0,0,1.8,0,1,1
0,0,0,0,0,0,4.448,0,1,1
0,0,0,0,0,0,1.3,0,1,1
0,0,0,0,0,0,2.584,0,0,1
0,0,0,0,0,0,0.449,0,0,1
0,0,0,0,0.20661157,0,5.944477972,0,0,1
0,0,0,0,0.20661157,0,5.952720023,0,0,1
0,0,0,0,0.20661157,0,5.940860215,0,0,1
0,0,0,0,0.20661157,0,5.95026643,0,0,1
0,0,0,0,0.20661157,0,5.951383068,0,0,1
0,0,0,0,0.20661157,0,5.944846293,0,0,1
0,0,0,0,0.20661157,0,5.941967143,0,0,1
0,0,0,0,0.20661157,0,5.95106233,0,0,1
0,0,0,0,0.20661157,0,5.94943927,0,0,1
0,0,0,0,0.1967,0,5.938284894,0,0,1
0,0,0,0,0.196,0,5.952582557,0,0,1
0,0,0,0,0.1978,0,12.97850236,0,0,1
0,0,0,0,0.1984,0,-4.201740115,0,0,1
0,0,0,0,0.197,0,-4.171896921,0,0,1
0,0,0,0,0.198,0,1.556480197,0,0,1
0,0,0,0,0.1941,0,-8.528072838,0,0,1
0,0,0,0,0.1983,0.4,-10.87425348,0,1,1
0,0,0,0,0.1955,0.4,-0.43741275,0,1,1
0,0,0,0,0.1967,0.4,-0.514114788,0,1,1
0,0,0,0,0.1981,0.4,10.55153622,0,1,1
0,0,0,0,0.201,0.4,1.784803672,0,1,1
0,0,0,0,0.2,0,-12.40814963,0,0,1
0,0,0,0,0.1998,0,4.232602479,0,0,1
0,0,0,0,0.1998,0,-2.231571246,0,0,1
0,0,0,0,0.2003,0,-0.477081384,0,0,1
0,0,0,0,0.1991,0,-6.438575054,0,0,1
0,0,0,0,0.2007,0,3.616636528,0,0,1
0,0,0,0,0.1999,0,-2.840798914,0,0,1
0,0,0,0,0.1987,0,-6.216944417,0,0,1
0,0,0,0,0.2005,0,-12.33241115,0,0,1
0,0,0,0,0.2003,0,7.949993931,0,0,1
0,0,0,0,0.201,0,10.17539915,0,0,1
0,0,0,0,0.1993,0,1.959383611,0,0,1
0,0,0,0,0.1983,0,-13.92253028,0,0,1
0,0,0,0,0.199,0,-4.953488372,0,0,1
0,0,0,0,0.1971,0,-5.578664057,0,0,1
0,0,0,0,0.1976,0,9.70458668,0,0,1
0,0,0,0,0.1986,0,2.846344632,0,0,1
0,0,0,0,0.1985,0,14.21681213,0,0,1
0,0,0,0,0.1951,0,-6.374422378,0,0,1
0,0,0,0,0.1999,0,7.388316151,0,0,1
0,0,0,0,0.1975,0,0.11,0,0,1
0,0,0,0,0.1988,0,-0.549395665,0,0,1
0,0,0,0,0.2009,0,-7.533145842,0,0,1
0,0,0,0,0.1994,0,-2.639582881,0,0,1
0,0,0,0,0.201,0,15.36315966,0,0,1
0,0,0,0,0.2003,0,9.448742747,0,0,1
1,0,0,1,0.2006,0,1.307767076,0,0,1
0,0,0,0,0.1994,0,8.87047536,0,0,1
0,0,0,0,0.1995,0,1.185707419,0,0,1
0,0,0,0,0.1999,0,-11.7418844,0,0,1
0,0,0,0,0.1996,0,1.291827398,0,0,1
0,0,0,0,0.1998,0,6.24391108,0,0,1
0,0,0,0,0.2007,0,11.40380127,0,0,1
0,0,0,0,0.1996,0,-1.137384017,0,0,1
0,0,0,0,0.206,0,-16.00060551,0,0,1
0,0,0,0,0.2049,0,19.326921,0,0,1
0,0,1,0,0.2049,0,35.4800225,0,0,1
0,0,0,0,0.2042,0,18.04671609,0,0,1
0,0,0,0,0.2554,0,12.1743099,0,0,1
0,0,1,0,0.2787,0,20.60262757,0,0,1
0,0,0,0,0.2343,0,-28.50213688,0,0,1
0,0,0,0,0.2112,0,-11.8067676,0,0,1
0,0,0,0,0.2244,0,-10.90447887,0,0,1
0,0,0,0,0.2074,0,7.201266764,0,0,1
0,0,0,0,0.2008,0,5.682103785,0,0,1
0,0,0,0,0.2011,0,-11.35479535,0,0,1
0,0,0,0,0.1998,0,-8.356955722,0,0,1
0,0,0,0,0.201,0,4.5057024,0,0,1
0,0,0,0,0.1998,0,-3.339660342,0,0,1
0,0,0,0,0.2008,0,-6.922294859,0,0,1
1,0,0,1,0.289,0,-5.020231154,0,0,1
0,0,0,0,0.2975,0,-10.84823995,0,0,1
0,0,0,0,0.1906,0,-9.7931274,0,0,1
0,0,1,0,0.1971,0,23.96925479,0,0,1
0,0,0,0,0.1979,0,5.648570427,0,0,1
0,0,0,0,0.1987,0,-7.249727068,0,0,1
0,0,0,0,0.1952,0,-1.022813275,0,0,1
0,0,0,0,0.2088,0,11.43314281,0,0,1
0,0,0,0,0.2481,0,-1.435148115,0,0,1
0,0,0,0,0.2416,0,10.38362042,0,0,1
0,0,1,0,0.2416,0,24.18818835,0,0,1
0,0,1,0,0.2416,0,40.76638415,0,0,1
0,0,0,0,0.2416,0,17.48643148,0,0,1
0,0,0,0,0.2416,0,11.37938502,0,0,1
0,0,0,0,0.2416,0,0,0,0,1
0,0,0,0,0.2416,0,2.119179547,0,0,1
0,0,0,0,0.2416,0,-3.112803427,0,0,1
